temp    pres    rho
232.729 32972.2 0.493546
232.229 32601.7 0.489051
231.728 32233.8 0.484577
231.226 31868.4 0.480124
230.723 31505.4 0.475691
230.218 31145 0.47128
229.713 30787.1 0.46689
229.206 30431.8 0.462522
228.698 30078.9 0.458175
228.189 29728.7 0.45385
227.678 29380.9 0.449546
227.167 29035.8 0.445265
226.654 28693.1 0.441005
226.141 28353.1 0.436769
225.626 28015.6 0.432554
225.11 27680.6 0.428362
224.594 27348.3 0.424192
224.076 27018.5 0.420045
223.557 26691.2 0.415921
223.037 26366.6 0.41182
222.516 26044.5 0.407742
221.994 25725 0.403687
221.471 25408.1 0.399655
220.947 25093.7 0.395647
220.422 24782 0.391662
219.896 24472.8 0.3877
219.369 24166.2 0.383763
218.842 23862.2 0.379849
218.313 23560.8 0.375959
217.784 23262 0.372094
217.253 22965.8 0.368253
216.722 22672.2 0.364436
216.65 22381.5 0.359883
216.65 22094.1 0.355261
216.65 21809.9 0.350692
216.65 21529 0.346175
216.65 21251.3 0.34171
216.65 20976.8 0.337296
216.65 20705.4 0.332932
216.65 20437.2 0.32862
216.65 20172.1 0.324356
216.65 19910.1 0.320143
216.65 19651.1 0.315979
216.65 19395.1 0.311863
216.65 19142.1 0.307795
216.65 18892.1 0.303775
216.65 18645.1 0.299803
216.65 18400.9 0.295877
216.65 18159.7 0.291999
216.65 17921.4 0.288166
216.65 17685.9 0.28438
216.65 17453.3 0.280639
216.65 17223.4 0.276943
216.65 16996.4 0.273292
216.65 16772 0.269686
216.65 16550.5 0.266123
216.65 16331.6 0.262603
216.65 16115.4 0.259127
216.65 15901.8 0.255693
216.65 15690.9 0.252301
216.65 15482.5 0.248951
216.65 15276.8 0.245642
216.65 15073.5 0.242374
216.65 14872.8 0.239146
216.65 14674.5 0.235959
216.65 14478.7 0.23281
216.65 14285.4 0.229701
216.65 14094.4 0.226631
216.65 13905.9 0.2236
216.65 13719.8 0.220606
216.65 13536 0.217651
216.65 13354.5 0.214733
216.65 13175.3 0.211852
216.65 12998.4 0.209008
216.65 12823.8 0.2062
216.65 12651.4 0.203428
216.65 12481.2 0.200691
216.65 12313.2 0.19799
216.65 12147.4 0.195324
216.65 11983.7 0.192691
216.65 11822.1 0.190093
216.65 11662.6 0.187528
216.65 11505.1 0.184997
216.65 11349.7 0.182498
216.65 11196.3 0.180031
216.65 11044.9 0.177596
216.65 10895.5 0.175193
216.65 10747.9 0.172821
216.65 10602.4 0.17048
216.65 10458.7 0.16817
216.65 10316.9 0.16589
216.65 10176.9 0.16364
216.65 10038.9 0.161419
216.65 9902.57 0.159228
216.65 9768.09 0.157066
216.65 9635.39 0.154932
216.65 9504.44 0.152826
216.65 9375.24 0.150749
216.65 9247.75 0.148699
216.65 9121.96 0.146676
216.65 8997.83 0.14468
216.65 8875.36 0.142711
216.65 8754.52 0.140768
216.65 8635.29 0.138851
216.65 8517.66 0.136959
216.65 8401.6 0.135093
216.65 8287.09 0.133252
216.65 8174.12 0.131436
216.65 8062.67 0.129643
216.65 7952.71 0.127875
216.65 7844.24 0.126131
216.65 7737.22 0.12441
216.65 7631.65 0.122713
216.65 7527.51 0.121038
216.65 7424.79 0.119387
216.65 7323.45 0.117757
216.65 7223.5 0.11615
216.65 7124.91 0.114565
216.65 7027.67 0.113001
216.65 6931.76 0.111459
216.65 6837.17 0.109938
216.65 6743.87 0.108438
216.65 6651.87 0.106958
216.65 6561.13 0.105499
216.65 6471.64 0.104061
216.65 6383.4 0.102642
216.65 6296.37 0.101242
216.65 6210.55 0.0998623
216.65 6125.92 0.0985015
216.65 6042.47 0.0971596
216.65 5960.17 0.0958363
216.65 5879.02 0.0945315
216.65 5798.99 0.0932447
216.65 5720.08 0.0919759
216.65 5642.27 0.0907248
216.65 5565.55 0.0894911
216.65 5489.89 0.0882746
216.72 5415.31 0.0870473
216.848 5306.85 0.0852533
216.977 5200.06 0.0834881
217.105 5096.09 0.0817705
217.234 4993.72 0.0800803
217.363 4893.97 0.0784343
217.492 4795.75 0.0768146
217.62 4699.87 0.0752345
217.75 4605.48 0.0736796
217.879 4513.25 0.0721615
218.008 4422.46 0.0706676
218.139 4333.07 0.069198
218.269 4245.66 0.0677616
218.4 4159.62 0.0663486
218.53 4075.52 0.0649683
218.662 3992.73 0.0636104
218.793 3911.84 0.0622842
218.924 3832.21 0.0609798
219.056 3754.48 0.059707
219.188 3677.97 0.058455
219.319 3603.31 0.0572341
219.452 3529.84 0.0560332
219.584 3458.18 0.0548627
219.716 3387.65 0.0537115
219.848 3318.88 0.0525896
219.981 3251.2 0.0514861
220.113 3185.23 0.0504111
220.245 3120.3 0.0493537
220.378 3057.03 0.048324
220.51 2994.76 0.0473111
220.643 2934.07 0.0463246
220.775 2874.34 0.0453543
